Service Name,Eligibility Criteria,Interest Rate/Premium,Application Process,Contact Information,Policy Terms,Service Locations,Loan/Insurance Type,Approval Time,Suggested For,How To Apply,Eligibility Criteria For,Return Amount/Benefit
Home Loan,"Age 25-60, Income 50000+",8% p.a.,"Apply online, provide ID, proof of income, property documents","123-4567890, support@company.com","Payback in 15 years, EMI starts after 2 months","Delhi, Mumbai, Bangalore",Secured Loan,7-10 business days,"Homebuyers, Families","Apply online, submit documents, get approval",People with stable income,1.2X loan value
Personal Loan,"Age 23-55, Income 40000+",10% p.a.,"Apply online, provide ID, bank statements","123-4567891, help@company.com","Payback in 5 years, EMI starts after 1 month","Delhi, Mumbai",Unsecured Loan,5-7 business days,"Employees, Entrepreneurs","Apply online, get loan amount directly credited",People with low credit score,1.3X loan value
Car Loan,"Age 21-60, Income 60000+",7.5% p.a.,"Apply online, provide ID, car details, income proof","123-4567892, assist@company.com","Payback in 7 years, EMI starts after 1 month","Bangalore, Chennai, Hyderabad",Secured Loan,5-10 business days,Car Owners,"Apply online, submit car documents, get funds",People buying a new car,1.5X car value
Education Loan,"Age 18-50, Income 30000+",5% p.a.,"Apply online, provide ID, educational documents","123-4567893, support@company.com","Payback in 5 years, EMI starts after 3 months","Mumbai, Pune",Unsecured Loan,10-15 business days,"Students, Parents","Apply online, submit school/college documents",Students needing education funds,1X education loan
Term Insurance,"Age 18-65, No pre-existing conditions",Premium: 12000-30000 p.a.,"Apply online, provide ID, health screening, family details","123-4567894, care@company.com","Payback in 10 years, Sum assured after policy period","Delhi, Bangalore",Life Insurance,15-30 days,"Family Heads, Retirees","Apply online, take medical screening, pay premiums",People with family,Sum Assured
Health Insurance,"Age 18-60, Medical history required",Premium: 5000-20000 p.a.,"Apply online, provide ID, medical reports","123-4567895, health@company.com","Payback in 10 years, Coverage till policy maturity","Mumbai, Delhi",Health Insurance,30-60 days,"Family Heads, Workers","Apply online, provide health details, get approval",People needing health coverage,Medical Coverage up to 5L
Home Loan,"Age 25-60, Income 50000+",8% p.a.,"Apply online, provide ID, proof of income, property documents","123-4567890, support@company.com","Payback in 15 years, EMI starts after 2 months","Delhi, Mumbai, Bangalore",Secured Loan,7-10 business days,"Homebuyers, Families","Apply online, submit documents, get approval",People with stable income,1.2X loan value
Personal Loan,"Age 23-55, Income 40000+",10% p.a.,"Apply online, provide ID, bank statements","123-4567891, help@company.com","Payback in 5 years, EMI starts after 1 month","Delhi, Mumbai",Unsecured Loan,5-7 business days,"Employees, Entrepreneurs","Apply online, get loan amount directly credited",People with low credit score,1.3X loan value
Car Loan,"Age 21-60, Income 60000+",7.5% p.a.,"Apply online, provide ID, car details, income proof","123-4567892, assist@company.com","Payback in 7 years, EMI starts after 1 month","Bangalore, Chennai, Hyderabad",Secured Loan,5-10 business days,Car Owners,"Apply online, submit car documents, get funds",People buying a new car,1.5X car value
Education Loan,"Age 18-50, Income 30000+",5% p.a.,"Apply online, provide ID, educational documents","123-4567893, support@company.com","Payback in 5 years, EMI starts after 3 months","Mumbai, Pune",Unsecured Loan,10-15 business days,"Students, Parents","Apply online, submit school/college documents",Students needing education funds,1X education loan
Term Insurance,"Age 18-65, No pre-existing conditions",Premium: 12000-30000 p.a.,"Apply online, provide ID, health screening, family details","123-4567894, care@company.com","Payback in 10 years, Sum assured after policy period","Delhi, Bangalore",Life Insurance,15-30 days,"Family Heads, Retirees","Apply online, take medical screening, pay premiums",People with family,Sum Assured
Health Insurance,"Age 18-60, Medical history required",Premium: 5000-20000 p.a.,"Apply online, provide ID, medical reports","123-4567895, health@company.com","Payback in 10 years, Coverage till policy maturity","Mumbai, Delhi",Health Insurance,30-60 days,"Family Heads, Workers","Apply online, provide health details, get approval",People needing health coverage,Medical Coverage up to 5L
